[Header]
Data File Name	E:\10.10.2022_2022-10-10 Wucherung 1h 50ml$min_01.qgd
Output Date	10.10.2022
Output Time	14:22:58

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	100
# of Points	7032
Start Time(min)	2.000
End Time(min)	13.718
Ret.Time	Absolute Intensity	Relative Intensity
2.000	3770371	99.17
2.002	1532013	40.29
2.003	118014	3.10
2.005	13663	0.36
2.007	5880	0.15
2.008	2388	0.06
2.010	119	0.00
2.012	0	0.00
2.013	584	0.02
2.015	4314	0.11
2.017	8909	0.23
2.018	7381	0.19
2.020	3766	0.10
2.022	3960	0.10
2.023	5842	0.15
2.025	9240	0.24
2.027	13057	0.34
2.028	14476	0.38
2.030	14901	0.39
2.032	15508	0.41
2.033	16755	0.44
2.035	18963	0.50
2.037	19380	0.51
2.038	18069	0.48
2.040	17892	0.47
2.042	18771	0.49
2.043	18287	0.48
2.045	16486	0.43
2.047	14008	0.37
2.048	12826	0.34
2.050	12402	0.33
2.052	12547	0.33
2.053	15614	0.41
2.055	20574	0.54
2.057	23533	0.62
2.058	26323	0.69
2.060	29019	0.76
2.062	29188	0.77
2.063	29178	0.77
2.065	28013	0.74
2.067	25470	0.67
2.068	23969	0.63
2.070	22331	0.59
2.072	21672	0.57
2.073	22284	0.59
2.075	21991	0.58
2.077	20918	0.55
2.078	19893	0.52
2.080	18749	0.49
2.082	16908	0.44
2.083	16185	0.43
2.085	17091	0.45
2.087	17153	0.45
2.088	16326	0.43
2.090	15773	0.41
2.092	15431	0.41
2.093	14833	0.39
2.095	13958	0.37
2.097	13645	0.36
2.098	13529	0.36
2.100	14100	0.37
2.102	14667	0.39
2.103	14691	0.39
2.105	15540	0.41
2.107	17853	0.47
2.108	18630	0.49
2.110	16643	0.44
2.112	15947	0.42
2.113	17787	0.47
2.115	18401	0.48
2.117	16702	0.44
2.118	15711	0.41
2.120	15549	0.41
2.122	14995	0.39
2.123	14665	0.39
2.125	14253	0.37
2.127	13931	0.37
2.128	14047	0.37
2.130	14461	0.38
2.132	15314	0.40
2.133	16494	0.43
2.135	17489	0.46
2.137	17074	0.45
2.138	16202	0.43
2.140	17349	0.46
2.142	17699	0.47
2.143	16108	0.42
2.145	15194	0.40
2.147	16020	0.42
2.148	16438	0.43
2.150	14702	0.39
2.152	13038	0.34
2.153	12990	0.34
2.155	13558	0.36
2.157	13729	0.36
2.158	14534	0.38
2.160	15195	0.40
2.162	14845	0.39
2.163	14928	0.39
2.165	15462	0.41
2.167	15714	0.41
2.168	14655	0.39
2.170	13441	0.35
2.172	13992	0.37
2.173	15437	0.41
2.175	17010	0.45
2.177	17103	0.45
2.178	16517	0.43
2.180	16752	0.44
2.182	16538	0.43
2.183	16133	0.42
2.185	15322	0.40
2.187	15201	0.40
2.188	16282	0.43
2.190	16338	0.43
2.192	15287	0.40
2.193	14552	0.38
2.195	14971	0.39
2.197	16063	0.42
2.198	16485	0.43
2.200	16346	0.43
2.202	16859	0.44
2.203	17383	0.46
2.205	16639	0.44
2.207	14982	0.39
2.208	14892	0.39
2.210	16274	0.43
2.212	16988	0.45
2.213	17069	0.45
2.215	17597	0.46
2.217	18125	0.48
2.218	18242	0.48
2.220	18774	0.49
2.222	19986	0.53
2.223	21175	0.56
2.225	21767	0.57
2.227	22210	0.58
2.228	21333	0.56
2.230	19297	0.51
2.232	18143	0.48
2.233	19006	0.50
2.235	19291	0.51
2.237	17916	0.47
2.238	17459	0.46
2.240	18031	0.47
2.242	17164	0.45
2.243	15408	0.41
2.245	14644	0.39
2.247	14648	0.39
2.248	15035	0.40
2.250	15455	0.41
2.252	15373	0.40
2.253	14411	0.38
2.255	14448	0.38
2.257	15425	0.41
2.258	15862	0.42
2.260	17099	0.45
2.262	18812	0.49
2.263	20221	0.53
2.265	21334	0.56
2.267	23278	0.61
2.268	26508	0.70
2.270	28391	0.75
2.272	30594	0.80
2.273	34410	0.91
2.275	38670	1.02
2.277	43700	1.15
2.278	50821	1.34
2.280	56319	1.48
2.282	56229	1.48
2.283	52224	1.37
2.285	47731	1.26
2.287	42528	1.12
2.288	36997	0.97
2.290	32753	0.86
2.292	29231	0.77
2.293	25290	0.67
2.295	22861	0.60
2.297	23013	0.61
2.298	23725	0.62
2.300	24424	0.64
2.302	25180	0.66
2.303	25376	0.67
2.305	25759	0.68
2.307	28660	0.75
2.308	31331	0.82
2.310	31751	0.84
2.312	31406	0.83
2.313	31527	0.83
2.315	30790	0.81
2.317	28318	0.74
2.318	24697	0.65
2.320	21385	0.56
2.322	19616	0.52
2.323	18081	0.48
2.325	18793	0.49
2.327	22646	0.60
2.328	31087	0.82
2.330	49237	1.29
2.332	74258	1.95
2.333	96076	2.53
2.335	107406	2.82
2.337	108523	2.85
2.338	105378	2.77
2.340	98544	2.59
2.342	90637	2.38
2.343	83693	2.20
2.345	76172	2.00
2.347	69103	1.82
2.348	63155	1.66
2.350	57568	1.51
2.352	53466	1.41
2.353	50712	1.33
2.355	47773	1.26
2.357	42992	1.13
2.358	39435	1.04
2.360	37178	0.98
2.362	34332	0.90
2.363	32695	0.86
2.365	31877	0.84
2.367	29992	0.79
2.368	28431	0.75
2.370	28284	0.74
2.372	28284	0.74
2.373	28167	0.74
2.375	27753	0.73
2.377	25325	0.67
2.378	22798	0.60
2.380	24076	0.63
2.382	26814	0.71
2.383	28305	0.74
2.385	28312	0.74
2.387	28041	0.74
2.388	28926	0.76
2.390	30363	0.80
2.392	32113	0.84
2.393	33454	0.88
